Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
m4.xlarge,m4,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.4,16,0,-,-,0,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,750,6000,93.75,750,6000,93.75,0.434 USD per Hour,0.25 USD per Hour,0.35 USD per Hour,0.3076 USD per Hour,0.257 USD per Hour,false,false
inf1.6xlarge,inf1,6xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,24,x86_64,12,"2,4,6,8,10,12",2,"1,2",2.5,48,0,-,-,0,supported,default,25 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,4750,20000,593.75,4750,20000,593.75,-,1.475 USD per Hour,1.6 USD per Hour,1.735 USD per Hour,-,false,false
c8i.24xlarge,c8i,24xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.9,192,0,-,-,0,supported,default,40 Gigabit,required,16,64,64,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,10.29024 USD per Hour,5.87424 USD per Hour,5.99924 USD per Hour,6.91104 USD per Hour,6.04224 USD per Hour,true,true
g5.12xlarge,g5,12xlarge,"ap-southeast-2a, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,-,2,-,3.3,192,3800,true,ssd,1,supported,default,40 Gigabit,required,15,50,50,true,"cluster, partition, spread",4,0,-,unsupported,ebs,-,-,-,true,16000,65000,2000,16000,65000,2000,9.58273 USD per Hour,7.37473 USD per Hour,7.49973 USD per Hour,7.89313 USD per Hour,7.45873 USD per Hour,false,false
d3en.4xlarge,d3en,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.1,64,111840,true,hdd,8,supported,default,25 Gigabit,required,4,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,true,2800,15000,350,2800,15000,350,3.372 USD per Hour,2.636 USD per Hour,2.761 USD per Hour,2.809 USD per Hour,2.664 USD per Hour,false,false
i4g.4xlarge,i4g,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,128,3750,true,ssd,1,supported,default,Up to 25 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,5000,20000,625,10000,40000,1250,-,1.48104 USD per Hour,1.60604 USD per Hour,1.65384 USD per Hour,1.50904 USD per Hour,true,false
r7g.xlarge,r7g,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.6,32,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25039999999998,10000,40000,1250,-,0.2567 USD per Hour,0.313 USD per Hour,0.3143 USD per Hour,0.2637 USD per Hour,false,false
c6in.2xlarge,c6in,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.5,16,0,-,-,0,supported,default,Up to 40 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,6250,25000,781.25,25000,100000,3125,0.9602 USD per Hour,0.5922 USD per Hour,0.7172 USD per Hour,0.7074 USD per Hour,-,false,true
c7gd.xlarge,c7gd,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.6,8,237,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1250,6000,156.25039999999998,10000,40000,1250,-,0.2382 USD per Hour,0.2945 USD per Hour,0.2958 USD per Hour,0.2452 USD per Hour,false,false
c8i.96xlarge,c8i,96xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,384,x86_64,192,"12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,192",2,"1,2",3.9,768,0,-,-,0,supported,default,100 Gigabit,required,24,64,64,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,80000,480000,10000,80000,480000,10000,41.16096 USD per Hour,23.49696 USD per Hour,23.62196 USD per Hour,27.18336 USD per Hour,24.16896 USD per Hour,true,true
