Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
inf1.xlarge,inf1,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,2,2,"1,2",2.5,8,0,-,-,0,supported,default,Up to 25 Gigabit,required,4,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,1190,4000,148.75,4750,20000,593.75,-,0.285 USD per Hour,0.342 USD per Hour,0.343 USD per Hour,0.292 USD per Hour,false,false
r7i.metal-48xl,r7i,metal-48xl,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,192,x86_64,96,-,2,-,3.2,1536,0,-,-,0,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,40000,240000,5000,40000,240000,5000,24.0528 USD per Hour,15.2208 USD per Hour,15.3458 USD per Hour,17.064 USD per Hour,15.5568 USD per Hour,true,false
c5.4xlarge,c5,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,32,0,-,-,0,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,4750,20000,593.75,4750,20000,593.75,1.624 USD per Hour,0.888 USD per Hour,0.988 USD per Hour,1.061 USD per Hour,0.916 USD per Hour,false,false
r6gd.large,r6gd,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,16,118,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,630,3600,78.75,4750,20000,593.75,-,0.139 USD per Hour,0.1953 USD per Hour,0.1678 USD per Hour,0.1425 USD per Hour,false,false
r6in.12xlarge,r6in,12xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",2,"1,2",3.5,384,0,-,-,0,supported,default,75 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,37500,150000,4687.5,37500,150000,4687.5,7.29048 USD per Hour,5.08248 USD per Hour,5.20748 USD per Hour,5.60088 USD per Hour,5.16648 USD per Hour,true,true
c6i.2xlarge,c6i,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,2500,12000,312.5,10000,40000,1250,0.812 USD per Hour,0.444 USD per Hour,0.569 USD per Hour,0.5592 USD per Hour,0.458 USD per Hour,false,true
d3en.8xlarge,d3en,8xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.1,128,223680,true,hdd,16,supported,default,50 Gigabit,required,4,20,20,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,true,5000,30000,625,5000,30000,625,6.74368 USD per Hour,5.27168 USD per Hour,5.39668 USD per Hour,5.61728 USD per Hour,5.32768 USD per Hour,false,false
m5.12xlarge,m5,12xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.1,192,0,-,-,0,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,9500,40000,1187.5,9500,40000,1187.5,5.088 USD per Hour,2.88 USD per Hour,2.98 USD per Hour,3.398 USD per Hour,2.964 USD per Hour,false,false
c6id.24xlarge,c6id,24xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.5,192,5700,true,ssd,4,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,10.7664 USD per Hour,6.3504 USD per Hour,6.4754 USD per Hour,7.3872 USD per Hour,6.5184 USD per Hour,true,true
i7i.2xlarge,i7i,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",2.4,64,1875,true,ssd,1,supported,default,Up to 12 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,2500,10000,312.5,10000,40000,1250,1.2731 USD per Hour,0.9051 USD per Hour,1.0301 USD per Hour,1.0203 USD per Hour,0.9191 USD per Hour,false,false
