Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
r8i.8xlarge,r8i,8xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",3.9,256,0,-,-,0,supported,default,15 Gigabit,required,10,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,10000,40000,1250,10000,40000,1250,4.13568 USD per Hour,2.66368 USD per Hour,2.78868 USD per Hour,3.00928 USD per Hour,2.71968 USD per Hour,false,true
c6g.2xlarge,c6g,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,2375,12000,296.875,4750,20000,593.75,-,0.3552 USD per Hour,0.4802 USD per Hour,0.4704 USD per Hour,0.3692 USD per Hour,false,false
m1.medium,m1,medium,"ap-southeast-2a, ap-southeast-2b",false,false,false,xen,1,"i386, x86_64",1,-,1,-,,3.7,410,true,hdd,1,supported,unsupported,Moderate,unsupported,2,6,0,-,"partition, spread",0,0,-,unsupported,"ebs, instance-store",-,-,-,false,0,0,0,0,0,0,0.187 USD per Hour,0.117 USD per Hour,0.217 USD per Hour,0.131 USD per Hour,-,false,false
r6i.large,r6i,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,650,3600,81.25,10000,40000,1250,0.243 USD per Hour,0.151 USD per Hour,0.2073 USD per Hour,0.1798 USD per Hour,0.1545 USD per Hour,false,true
d2.xlarge,d2,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.4,30.5,6144,true,hdd,3,supported,default,Moderate,unsupported,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,"ebs, instance-store",true,-,-,false,750,6000,93.75,750,6000,93.75,1.001 USD per Hour,0.87 USD per Hour,0.97 USD per Hour,0.928 USD per Hour,0.877 USD per Hour,false,false
f1.4xlarge,f1,4xlarge,ap-southeast-2a,false,false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.3,244,940,true,ssd,1,supported,default,Up to 10 Gigabit,supported,8,30,30,true,"cluster, partition, spread",0,2,-,unsupported,ebs,true,-,-,true,3500,44000,437.5,3500,44000,437.5,-,3.962 USD per Hour,-,-,-,false,false
d3en.12xlarge,d3en,12xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.1,192,335520,true,hdd,24,supported,default,75 Gigabit,required,3,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,true,7000,40000,875,7000,40000,875,10.11552 USD per Hour,7.90752 USD per Hour,8.03252 USD per Hour,8.42592 USD per Hour,7.99152 USD per Hour,false,false
c5d.9xlarge,c5d,9xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,900,true,ssd,1,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,9500,40000,1187.5,9500,40000,1187.5,3.924 USD per Hour,2.268 USD per Hour,2.368 USD per Hour,2.657 USD per Hour,2.331 USD per Hour,false,false
r6i.2xlarge,r6i,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,64,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,false,2500,12000,312.5,10000,40000,1250,0.972 USD per Hour,0.604 USD per Hour,0.729 USD per Hour,0.7192 USD per Hour,0.618 USD per Hour,false,true
r6in.xlarge,r6in,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,32,0,-,-,0,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,3125,12500,390.625,25000,100000,3125,0.60754 USD per Hour,0.42354 USD per Hour,0.47984 USD per Hour,0.48114 USD per Hour,0.43054 USD per Hour,false,true
