Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
m6in.xlarge,m6in,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16,0,-,-,0,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,3125,12500,390.625,25000,100000,3125,0.535 USD per Hour,0.351 USD per Hour,0.4073 USD per Hour,0.4086 USD per Hour,0.358 USD per Hour,false,true
r5ad.16xlarge,r5ad,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,x86_64,32,"8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.5,512,2400,true,ssd,4,supported,default,12 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,true,9500,40000,1187.5,9500,40000,1187.5,8.032 USD per Hour,5.088 USD per Hour,5.213 USD per Hour,5.779 USD per Hour,5.2 USD per Hour,false,false
c6in.32xlarge,c6in,32xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,128,x86_64,64,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,256,0,-,-,0,supported,default,200 Gigabit,required,16,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,100000,400000,12500,100000,400000,12500,15.3632 USD per Hour,9.4752 USD per Hour,9.6002 USD per Hour,10.704 USD per Hour,-,true,true
i8g.48xlarge,i8g,48xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,192,arm64,192,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192",1,1,2.8,1536,45000,true,ssd,12,supported,default,Up to 100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,60000,240000,7500,60000,240000,7500,-,19.7472 USD per Hour,19.8722 USD per Hour,21.5904 USD per Hour,20.0832 USD per Hour,true,false
m6idn.2xlarge,m6idn,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.5,32,474,true,ssd,1,supported,default,Up to 40 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,6250,25000,781.25,25000,100000,3125,1.17296 USD per Hour,0.80496 USD per Hour,0.92996 USD per Hour,0.92016 USD per Hour,0.81896 USD per Hour,false,true
m6idn.metal,m6idn,metal,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,128,x86_64,64,-,2,-,3.5,512,7600,true,ssd,4,supported,default,200 Gigabit,required,16,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,100000,400000,12500,100000,400000,12500,18.76736 USD per Hour,12.87936 USD per Hour,13.00436 USD per Hour,14.10816 USD per Hour,13.10336 USD per Hour,true,false
t4g.xlarge,t4g,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,16,0,-,-,0,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,695,4000,86.875,2780,15700,347.5,-,0.1696 USD per Hour,0.2259 USD per Hour,0.2272 USD per Hour,0.1766 USD per Hour,false,false
c5a.16xlarge,c5a,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,x86_64,32,"1,2,3,4,8,12,16,20,24,28,32",2,"1,2",3.3,128,0,-,-,0,supported,default,20 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,6300,26700,787.5,6300,26700,787.5,6.144 USD per Hour,3.2 USD per Hour,3.325 USD per Hour,3.891 USD per Hour,3.312 USD per Hour,false,false
m4.2xlarge,m4,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.4,32,0,-,-,0,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,1000,8000,125,1000,8000,125,0.868 USD per Hour,0.5 USD per Hour,0.6 USD per Hour,0.6152 USD per Hour,0.514 USD per Hour,false,false
i3.xlarge,i3,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.3,30.5,950,true,ssd,1,supported,default,Up to 10 Gigabit,supported,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,850,6000,106.25,850,6000,106.25,0.558 USD per Hour,0.374 USD per Hour,0.474 USD per Hour,0.432 USD per Hour,0.381 USD per Hour,false,false
i4i.large,i4i,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,16,468,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,625,2500,78.125,10000,40000,1250,0.298 USD per Hour,0.206 USD per Hour,0.262 USD per Hour,0.235 USD per Hour,0.209 USD per Hour,false,false
r7gd.large,r7gd,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.6,16,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,630,3600,78.75,10000,40000,1250,-,0.1566 USD per Hour,0.2129 USD per Hour,0.1854 USD per Hour,0.1601 USD per Hour,false,false
m6a.16xlarge,m6a,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,x86_64,32,"4,6,8,10,12,14,16,32",2,"1,2",3.6,256,0,-,-,0,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,20000,80000,2500,20000,80000,2500,6.4 USD per Hour,3.456 USD per Hour,3.581 USD per Hour,4.1472 USD per Hour,3.568 USD per Hour,true,false
r5b.16xlarge,r5b,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.1,512,0,-,-,0,supported,default,20 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,40000,173333,5000,40000,173333,5000,8.736 USD per Hour,5.792 USD per Hour,5.917 USD per Hour,6.4832 USD per Hour,5.904 USD per Hour,false,false
m6in.large,m6in,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,8,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1562,6250,195.3125,25000,100000,3125,0.2675 USD per Hour,0.1755 USD per Hour,0.2318 USD per Hour,0.2043 USD per Hour,0.179 USD per Hour,false,true
x2iedn.16xlarge,x2iedn,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.5,2048,1900,true,ssd,1,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,unsupported,ebs,true,-,-,true,40000,130000,5000,40000,130000,5000,22.285 USD per Hour,19.341 USD per Hour,19.466 USD per Hour,20.0322 USD per Hour,19.453 USD per Hour,true,false
c7gd.8xlarge,c7gd,8xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.6,64,1900,true,ssd,1,supported,default,15 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,10000,40000,1250,10000,40000,1250,-,1.9053 USD per Hour,2.0303 USD per Hour,2.2509 USD per Hour,1.9613 USD per Hour,false,false
m8i.4xlarge,m8i,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.9,64,0,-,-,0,supported,default,Up to 15 Gigabit,required,8,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,5000,20000,625,10000,40000,1250,1.7944 USD per Hour,1.0584 USD per Hour,1.1834 USD per Hour,1.2312 USD per Hour,1.0864 USD per Hour,false,true
t4g.micro,t4g,micro,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",true,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,1,0,-,-,0,supported,default,Up to 5 Gigabit,required,2,2,2,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,87,500,10.875,2085,11800,260.625,-,0.0106 USD per Hour,0.0106 USD per Hour,0.0394 USD per Hour,0.0141 USD per Hour,false,false
g6.xlarge,g6,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.4,16,250,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,0,-,unsupported,ebs,-,-,-,true,1000,4000,125,5000,20000,625,1.2304 USD per Hour,1.0464 USD per Hour,1.1027 USD per Hour,1.104 USD per Hour,1.0534 USD per Hour,false,false
i7i.metal-48xl,i7i,metal-48xl,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,192,x86_64,96,-,2,-,2.4,1536,45000,true,ssd,12,supported,default,Up to 100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,60000,240000,7500,60000,240000,7500,30.5539 USD per Hour,21.7219 USD per Hour,21.8469 USD per Hour,23.5651 USD per Hour,22.0579 USD per Hour,true,false
m7a.12xlarge,m7a,12xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,x86_64,48,"1,2,3,4,5,6,12,18,24,30,36,42,48",1,1,3.7,192,0,-,-,0,supported,default,18.75 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,15000,60000,1875,15000,60000,1875,5.6856 USD per Hour,3.4776 USD per Hour,3.6026 USD per Hour,3.996 USD per Hour,3.5616 USD per Hour,true,false
r6idn.large,r6idn,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,16,118,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1562,6250,195.3125,25000,100000,3125,0.33068 USD per Hour,0.23868 USD per Hour,0.29498 USD per Hour,0.26748 USD per Hour,0.24218 USD per Hour,false,true
