Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
m8i-flex.2xlarge,m8i-flex,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.9,32,0,-,-,0,supported,default,Up to 15 Gigabit,required,4,30,30,true,"partition, spread",0,0,true,supported,ebs,-,true,-,true,1250,6000,156.25,10000,40000,1250,0.85236 USD per Hour,0.50276 USD per Hour,0.62776 USD per Hour,0.61796 USD per Hour,0.51676 USD per Hour,false,true
r6id.2xlarge,r6id,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,64,474,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,2500,12000,312.5,10000,40000,1250,1.064 USD per Hour,0.696 USD per Hour,0.821 USD per Hour,0.8112 USD per Hour,0.71 USD per Hour,false,true
c8gd.2xlarge,c8gd,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.8,16,474,true,ssd,1,supported,default,Up to 15 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,2500,12000,312.5,10000,40000,1250,-,0.5144 USD per Hour,0.6394 USD per Hour,0.6296 USD per Hour,0.5284 USD per Hour,false,false
c6g.16xlarge,c6g,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,0,-,-,0,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,19000,80000,2375,19000,80000,2375,-,2.8416 USD per Hour,2.9666 USD per Hour,3.5328 USD per Hour,2.9536 USD per Hour,false,false
m7i.24xlarge,m7i,24xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",2,"1,2",3.2,384,0,-,-,0,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,30000,120000,3750,30000,120000,3750,10.464 USD per Hour,6.048 USD per Hour,6.173 USD per Hour,7.0848 USD per Hour,6.216 USD per Hour,true,false
r6gd.xlarge,r6gd,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,32,237,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1188,6000,148.5,4750,20000,593.75,-,0.278 USD per Hour,0.3343 USD per Hour,0.3356 USD per Hour,0.285 USD per Hour,false,false
r6idn.2xlarge,r6idn,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.5,64,474,true,ssd,1,supported,default,Up to 40 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,6250,25000,781.25,25000,100000,3125,1.32272 USD per Hour,0.95472 USD per Hour,1.07972 USD per Hour,1.06992 USD per Hour,0.96872 USD per Hour,false,true
c5d.large,c5d,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,4,50,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,650,4000,81.25,4750,20000,593.75,0.218 USD per Hour,0.126 USD per Hour,0.182 USD per Hour,0.155 USD per Hour,0.13 USD per Hour,false,false
x1e.32xlarge,x1e,32xlarge,"ap-southeast-2a, ap-southeast-2c",false,false,false,xen,128,x86_64,64,"4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64",2,"1,2",2.3,3904,3840,true,ssd,2,supported,default,25 Gigabit,supported,8,30,30,true,"cluster, partition, spread",0,0,true,unsupported,ebs,true,-,-,true,14000,80000,1750,14000,80000,1750,44.576 USD per Hour,38.688 USD per Hour,38.788 USD per Hour,39.917 USD per Hour,38.912 USD per Hour,false,false
c5n.large,c5n,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,5.3,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,650,4000,81.25,4750,20000,593.75,0.233 USD per Hour,0.141 USD per Hour,0.197 USD per Hour,0.17 USD per Hour,0.145 USD per Hour,false,false
