Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
i8g.8xlarge,i8g,8xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.8,256,7500,true,ssd,2,supported,default,Up to 25 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,10000,40000,1250,10000,40000,1250,-,3.2912 USD per Hour,3.4162 USD per Hour,3.6368 USD per Hour,3.3472 USD per Hour,false,false
r5a.12xlarge,r5a,12xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,"6,12,18,24",2,"1,2",2.5,384,0,-,-,0,supported,default,10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,6780,30000,847.5,6780,30000,847.5,5.472 USD per Hour,3.264 USD per Hour,3.389 USD per Hour,3.782 USD per Hour,3.348 USD per Hour,false,false
r6a.12xlarge,r6a,12xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,"1,2,3,4,5,6,7,8,16,24",2,"1,2",3.6,384,0,-,-,0,supported,default,18.75 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,15000,60000,1875,15000,60000,1875,5.4696 USD per Hour,3.2616 USD per Hour,3.3866 USD per Hour,3.78 USD per Hour,3.3456 USD per Hour,true,false
g6.48xlarge,g6,48xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,192,x86_64,96,"4,6,8,10,12,24,36,48,60,72,84,96",2,"1,2",3.4,768,7520,true,ssd,8,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",8,0,-,unsupported,ebs,true,-,-,true,60000,240000,7500,60000,240000,7500,26.19017 USD per Hour,17.35817 USD per Hour,17.48317 USD per Hour,19.20137 USD per Hour,17.69417 USD per Hour,true,false
c8gd.metal-24xl,c8gd,metal-24xl,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,96,arm64,96,-,1,-,2.8,192,5700,true,ssd,3,supported,default,40 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,-,6.1728 USD per Hour,6.2978 USD per Hour,7.2096 USD per Hour,6.3408 USD per Hour,true,false
i7ie.3xlarge,i7ie,3xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,12,x86_64,6,"1,2,3,4,5,6",2,"1,2",3.6,96,7500,true,ssd,1,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,3750,15000,468.75,10000,40000,1250,2.4219 USD per Hour,1.8699 USD per Hour,1.9949 USD per Hour,1.9995 USD per Hour,1.8909 USD per Hour,true,false
c8gd.24xlarge,c8gd,24xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,arm64,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96",1,1,2.8,192,5700,true,ssd,3,supported,default,40 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,-,6.1728 USD per Hour,6.2978 USD per Hour,7.2096 USD per Hour,6.3408 USD per Hour,true,false
m6g.xlarge,m6g,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,16,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1188,6000,148.5,4750,20000,593.75,-,0.192 USD per Hour,0.2483 USD per Hour,0.2496 USD per Hour,0.199 USD per Hour,false,false
g4dn.metal,g4dn,metal,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,96,x86_64,48,-,2,-,2.5,384,1800,true,ssd,2,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",8,0,-,unsupported,ebs,true,-,-,true,19000,80000,2375,19000,80000,2375,14.59 USD per Hour,10.174 USD per Hour,10.299 USD per Hour,11.211 USD per Hour,10.342 USD per Hour,false,false
c8i-flex.2xlarge,c8i-flex,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.9,16,0,-,-,0,supported,default,Up to 15 Gigabit,required,4,30,30,true,"partition, spread",0,0,true,supported,ebs,-,true,-,true,1250,6000,156.25,10000,40000,1250,0.81464 USD per Hour,0.46504 USD per Hour,0.59004 USD per Hour,0.58024 USD per Hour,0.47904 USD per Hour,false,true
