Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
m7i-flex.large,m7i-flex,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",true,false,false,nitro,2,x86_64,1,1,2,"1,2",3.2,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"partition, spread",0,0,true,supported,ebs,-,true,-,true,312,2500,39.0625,10000,40000,1250,0.2071 USD per Hour,0.1197 USD per Hour,0.176 USD per Hour,0.1485 USD per Hour,0.1232 USD per Hour,false,false
c5ad.large,c5ad,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.3,4,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,true,200,800,25,3170,13300,396.25,0.205 USD per Hour,0.113 USD per Hour,0.169 USD per Hour,0.142 USD per Hour,0.117 USD per Hour,false,false
r8gd.12xlarge,r8gd,12xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.8,384,2850,true,ssd,3,supported,default,22.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,15000,60000,1875,15000,60000,1875,-,4.05888 USD per Hour,4.18388 USD per Hour,4.57728 USD per Hour,4.14288 USD per Hour,true,false
r6g.metal,r6g,metal,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,64,arm64,64,-,1,-,2.5,512,0,-,-,0,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,19000,80000,2375,19000,80000,2375,-,3.8656 USD per Hour,3.9906 USD per Hour,4.5568 USD per Hour,3.9776 USD per Hour,false,false
t2.nano,t2,nano,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,1,"i386, x86_64",1,-,1,-,2.4,0.5,0,-,-,0,supported,unsupported,Low to Moderate,unsupported,2,2,2,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,0,0,0,0,0,0,0.0096 USD per Hour,0.0073 USD per Hour,0.0073 USD per Hour,-,0.0091 USD per Hour,false,false
r5a.8xlarge,r5a,8xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,x86_64,16,"4,6,8,10,12,14,16",2,"1,2",2.5,256,0,-,-,0,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,4750,20000,593.75,4750,20000,593.75,3.648 USD per Hour,2.176 USD per Hour,2.301 USD per Hour,2.522 USD per Hour,2.232 USD per Hour,false,false
m7i.4xlarge,m7i,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.2,64,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,5000,20000,625,10000,40000,1250,1.744 USD per Hour,1.008 USD per Hour,1.133 USD per Hour,1.1808 USD per Hour,1.036 USD per Hour,false,false
t3.small,t3,small,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",true,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,2,0,-,-,0,supported,default,Up to 5 Gigabit,required,3,4,4,true,"partition, spread",0,0,true,supported,ebs,true,true,true,true,174,1000,21.75,2085,11800,260.625,0.0448 USD per Hour,0.0264 USD per Hour,0.0574 USD per Hour,0.0552 USD per Hour,0.0299 USD per Hour,false,false
i3en.xlarge,i3en,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,32,2500,true,ssd,1,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1153,6000,144.2,4750,20000,593.75,0.726 USD per Hour,0.542 USD per Hour,0.598 USD per Hour,0.6 USD per Hour,0.549 USD per Hour,false,false
c8g.4xlarge,c8g,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.8,32,0,-,-,0,supported,default,Up to 15 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,5000,20000,625,10000,40000,1250,-,0.8304 USD per Hour,0.9554 USD per Hour,1.0032 USD per Hour,0.8584 USD per Hour,false,false
