Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
c8i-flex.large,c8i-flex,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.9,4,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,20,20,true,"partition, spread",0,0,true,supported,ebs,-,true,-,true,315,2500,39.375,10000,40000,1250,0.20366 USD per Hour,0.11626 USD per Hour,0.17256 USD per Hour,0.14506 USD per Hour,0.11976 USD per Hour,false,true
m6id.24xlarge,m6id,24xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.5,384,5700,true,ssd,4,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,11.5728 USD per Hour,7.1568 USD per Hour,7.2818 USD per Hour,8.1936 USD per Hour,7.3248 USD per Hour,true,true
m6id.large,m6id,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,8,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.2411 USD per Hour,0.1491 USD per Hour,0.2054 USD per Hour,0.1779 USD per Hour,0.1526 USD per Hour,false,true
p3.8xlarge,p3,8xlarge,ap-southeast-2a,false,false,false,xen,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",2.7,244,0,-,-,0,supported,default,10 Gigabit,supported,8,30,30,true,"cluster, partition, spread",4,0,true,supported,ebs,true,-,-,true,7000,40000,875,7000,40000,875,18.408 USD per Hour,16.936 USD per Hour,17.036 USD per Hour,17.282 USD per Hour,16.992 USD per Hour,false,false
x2iedn.8xlarge,x2iedn,8xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.5,1024,950,true,ssd,1,supported,default,25 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,unsupported,ebs,true,-,-,true,20000,65000,2500,20000,65000,2500,11.1425 USD per Hour,9.6705 USD per Hour,9.7955 USD per Hour,10.0161 USD per Hour,9.7265 USD per Hour,true,false
c7gd.4xlarge,c7gd,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.6,32,950,true,ssd,1,supported,default,Up to 15 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,5000,20000,625,10000,40000,1250,-,0.9526 USD per Hour,1.0776 USD per Hour,1.1254 USD per Hour,0.9806 USD per Hour,false,false
t2.small,t2,small,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,1,"i386, x86_64",1,-,1,-,2.5,2,0,-,-,0,supported,unsupported,Low to Moderate,unsupported,3,4,4,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,0,0,0,0,0,0,0.0384 USD per Hour,0.0292 USD per Hour,0.0592 USD per Hour,0.0436 USD per Hour,0.031 USD per Hour,false,false
m8i-flex.4xlarge,m8i-flex,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.9,64,0,-,-,0,supported,default,Up to 15 Gigabit,required,8,50,50,true,"partition, spread",0,0,true,supported,ebs,-,true,-,true,2500,12000,312.5,10000,40000,1250,1.70472 USD per Hour,1.00552 USD per Hour,1.13052 USD per Hour,1.17832 USD per Hour,1.03352 USD per Hour,false,true
m6gd.2xlarge,m6gd,2xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,32,474,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,2375,12000,296.875,4750,20000,593.75,-,0.456 USD per Hour,0.581 USD per Hour,0.5712 USD per Hour,0.47 USD per Hour,false,false
c6i.xlarge,c6i,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,1250,6000,156.25,10000,40000,1250,0.406 USD per Hour,0.222 USD per Hour,0.2783 USD per Hour,0.2796 USD per Hour,0.229 USD per Hour,false,true
c6gd.4xlarge,c6gd,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,32,950,true,ssd,1,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,4750,20000,593.75,4750,20000,593.75,-,0.808 USD per Hour,0.933 USD per Hour,0.9808 USD per Hour,0.836 USD per Hour,false,false
r6a.large,r6a,large,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.6,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,650,3600,81.25,10000,40000,1250,0.2279 USD per Hour,0.1359 USD per Hour,0.1922 USD per Hour,0.1647 USD per Hour,0.1394 USD per Hour,false,false
g6.4xlarge,g6,4xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.4,64,600,true,ssd,1,supported,default,Up to 25 Gigabit,required,8,30,30,true,"cluster, partition, spread",1,0,-,unsupported,ebs,-,-,-,true,8000,32000,1000,8000,32000,1000,2.45642 USD per Hour,1.72042 USD per Hour,1.84542 USD per Hour,1.89322 USD per Hour,1.74842 USD per Hour,false,false
m6idn.16xlarge,m6idn,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,x86_64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",2,"1,2",3.5,256,3800,true,ssd,2,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,50000,200000,6250,50000,200000,6250,9.38368 USD per Hour,6.43968 USD per Hour,6.56468 USD per Hour,7.13088 USD per Hour,6.55168 USD per Hour,true,true
i4i.32xlarge,i4i,32xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,128,x86_64,64,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,1024,30000,true,ssd,8,supported,default,75 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,40000,160000,5000,40000,160000,5000,19.0528 USD per Hour,13.1648 USD per Hour,13.2898 USD per Hour,14.3936 USD per Hour,13.3888 USD per Hour,true,false
c6g.8xlarge,c6g,8xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,64,0,-,-,0,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,9500,40000,1187.5,9500,40000,1187.5,-,1.4208 USD per Hour,1.5458 USD per Hour,1.7664 USD per Hour,1.4768 USD per Hour,false,false
