Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
r5d.8xlarge,r5d,8xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.1,256,1200,true,ssd,2,supported,default,10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,6800,30000,850,6800,30000,850,4.256 USD per Hour,2.784 USD per Hour,2.909 USD per Hour,3.13 USD per Hour,2.84 USD per Hour,false,false
m6g.16xlarge,m6g,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,256,0,-,-,0,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,19000,80000,2375,19000,80000,2375,-,3.072 USD per Hour,3.197 USD per Hour,3.7632 USD per Hour,3.184 USD per Hour,false,false
c8gd.8xlarge,c8gd,8xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.8,64,1900,true,ssd,1,supported,default,15 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,10000,40000,1250,10000,40000,1250,-,2.0576 USD per Hour,2.1826 USD per Hour,2.4032 USD per Hour,2.1136 USD per Hour,false,false
x1e.16xlarge,x1e,16xlarge,"ap-southeast-2a, ap-southeast-2c",false,false,false,xen,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.3,1952,1920,true,ssd,1,supported,default,10 Gigabit,supported,8,30,30,true,"cluster, partition, spread",0,0,true,unsupported,ebs,true,-,-,true,7000,40000,875,7000,40000,875,22.288 USD per Hour,19.344 USD per Hour,19.444 USD per Hour,20.035 USD per Hour,19.456 USD per Hour,false,false
c4.xlarge,c4,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.9,7.5,0,-,-,0,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,750,6000,93.75,750,6000,93.75,0.445 USD per Hour,0.261 USD per Hour,0.361 USD per Hour,0.318 USD per Hour,0.267 USD per Hour,false,false
r5.xlarge,r5,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,2,2,"1,2",3.1,32,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,1150,6000,143.75,4750,18750,593.75,0.486 USD per Hour,0.302 USD per Hour,0.358 USD per Hour,0.36 USD per Hour,0.309 USD per Hour,false,false
r4.xlarge,r4,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.3,30.5,0,-,-,0,supported,default,Up to 10 Gigabit,supported,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,false,850,6000,106.25,850,6000,106.25,0.5032 USD per Hour,0.3192 USD per Hour,0.4192 USD per Hour,0.3776 USD per Hour,0.327 USD per Hour,false,false
r5dn.12xlarge,r5dn,12xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.1,384,1800,true,ssd,2,supported,default,50 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,9500,40000,1187.5,9500,40000,1187.5,7.104 USD per Hour,4.896 USD per Hour,5.021 USD per Hour,5.4144 USD per Hour,4.98 USD per Hour,false,false
i8g.xlarge,i8g,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.8,32,937,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1250,5000,156.25,10000,40000,1250,-,0.4114 USD per Hour,0.4677 USD per Hour,0.469 USD per Hour,0.4184 USD per Hour,false,false
m6id.16xlarge,m6id,16xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.5,256,3800,true,ssd,2,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,20000,80000,2500,20000,80000,2500,7.7152 USD per Hour,4.7712 USD per Hour,4.8962 USD per Hour,5.4624 USD per Hour,4.8832 USD per Hour,true,true
t2.medium,t2,medium,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,2,"i386, x86_64",2,-,1,-,2.3,4,0,-,-,0,supported,unsupported,Low to Moderate,unsupported,3,6,6,true,"partition, spread",0,0,true,supported,ebs,-,true,true,true,0,0,0,0,0,0,0.0764 USD per Hour,0.0584 USD per Hour,0.1584 USD per Hour,0.0872 USD per Hour,0.0619 USD per Hour,false,false
inf2.xlarge,inf2,xlarge,"ap-southeast-2a, ap-southeast-2b",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,16,0,-,-,0,supported,default,Up to 15 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,supported,ebs,-,-,-,true,1250,6000,156.25,10000,40000,1250,-,0.98566 USD per Hour,-,1.04326 USD per Hour,-,false,false
g4dn.xlarge,g4dn,xlarge,"ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,2,2,"1,2",2.5,16,125,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",1,0,-,unsupported,ebs,-,-,-,true,950,3000,118.75,3500,20000,437.5,0.868 USD per Hour,0.684 USD per Hour,0.74 USD per Hour,0.742 USD per Hour,0.691 USD per Hour,false,false
